"","algorithm","dataset","duationSS","durationLOF","AUC_sum","Rprecision_adj_sum","numberRemainingSpaces_sum","AUC_removedRedundant_sum","AUC_max","Rprecision_adj_max","numberRemainingSpaces_max","AUC_removedRedundant_max","totalNumberSubspaces","numberMaxScoreSubspaces","minPts"
"1","HiCS","pen.csv",2.90999999999997,382.78,0.906625998886151,0.0838287290671018,15,0.974051624768493,0.782142440843917,0,9,0.939484011345535,100,100,10
"2","HiCS","pen.csv",2.90999999999997,382.78,0.919635803188666,0.0838287290671018,9,0.983402623978449,0.770686819235598,0,4,0.964655295229955,100,100,20
"3","HiCS","pen.csv",2.90999999999997,382.78,0.923832096462947,0.171083135822616,9,0.991393713331002,0.792684980119416,0,4,0.98921138179793,100,99,30
"4","HiCS","pen.csv",2.90999999999997,382.78,0.920121485280597,0.214710339200373,7,0.995033091139863,0.808446982942847,0,4,0.989904288249084,100,100,40
"5","HiCS","pen.csv",2.90999999999997,382.78,0.912518941601578,0.214710339200373,5,0.995719521829791,0.822732512206813,0,3,0.99235212599241,100,100,50
"6","HiCS","pen.csv",2.90999999999997,382.78,0.904650891712308,0.171083135822616,5,0.994443796868322,0.817959876183447,0,4,0.993045032443564,100,100,60
"7","HiCS","pen.csv",2.90999999999997,382.78,0.896569141702588,0.127455932444859,4,0.993265208325239,0.808965043840905,0,3,0.9927018170986,100,100,70
"8","HiCS","pen.csv",2.90999999999997,382.78,0.891492144901609,0.127455932444859,4,0.993841551074329,0.809068656020518,0,3,0.991937677273964,100,100,80
"9","HiCS","pen.csv",2.90999999999997,382.78,0.885230083796321,0.0838287290671018,6,0.992928468741501,0.798435456087865,0,3,0.991464946704485,100,100,90
"10","HiCS","pen.csv",2.90999999999997,382.78,0.882542642887641,0.0402015256893448,4,0.993776793462071,0.80750152180389,0,3,0.991283625390165,100,100,100
"11","CMI","pen.csv",4091.95,455.29,0.863445623032976,0.171083135822616,7,0.961805960290636,0.881979251661019,0,6,0.950933157192634,100,100,10
"12","CMI","pen.csv",4091.95,455.29,0.941588633743898,0.171083135822616,8,0.983694033233607,0.887425366851878,0,3,0.961132481123156,100,100,20
"13","CMI","pen.csv",4091.95,455.29,0.969272512983902,0.171083135822616,10,0.994508554480579,0.93546903938558,0,2,0.991115255598295,100,100,30
"14","CMI","pen.csv",4091.95,455.29,0.973209775809146,0.171083135822616,8,0.996962867985132,0.949631529186256,0,3,0.993841551074329,100,100,40
"15","CMI","pen.csv",4091.95,455.29,0.972769424045797,0.171083135822616,7,0.997260753001515,0.951334654388623,0,3,0.993407675072205,100,100,50
"16","CMI","pen.csv",4091.95,455.29,0.970528810661693,0.171083135822616,9,0.997066480164743,0.94971571408219,0,3,0.994003445104972,100,100,60
"17","CMI","pen.csv",4091.95,455.29,0.968825685459326,0.214710339200373,8,0.996820401238166,0.948692543808525,0,3,0.99362785095388,100,98,70
"18","CMI","pen.csv",4091.95,455.29,0.967750709095855,0.171083135822616,7,0.996684410252425,0.950984963282434,0,3,0.993712035849814,100,97,80
"19","CMI","pen.csv",4091.95,455.29,0.967077229928379,0.127455932444859,4,0.996956392223906,0.953763064848273,0,4,0.994132960329487,100,99,90
"20","CMI","pen.csv",4091.95,455.29,0.966682208493609,0.127455932444859,7,0.996755643625908,0.956670681638627,0,3,0.995952649233917,100,99,100
